Timestamp,Ticker,Weighted_Score,Polarized_Score,Articles_Count
2026-06-22 18:33:32,ITC.NS,0.67,1.0,3
2026-06-22 18:33:35,SBIN.NS,0.4,1.0,5
2026-06-22 18:33:42,LT.NS,0.4,0.5,5
2026-06-22 18:33:52,TMCV.NS,0.6,1.0,5
2026-06-22 18:34:02,TITAN.NS,-0.25,-0.33,4
2026-06-22 18:34:12,NTPC.NS,0.8,1.0,5
2026-06-22 18:34:15,ONGC.NS,0.4,1.0,5
2026-06-22 18:34:22,WIPRO.NS,1.0,1.0,2
2026-06-22 18:34:38,GRASIM.NS,0.6,1.0,5
2026-06-22 18:34:42,TECHM.NS,0.6,1.0,5
2026-06-22 18:34:48,RECLTD.NS,0.0,0.0,1
2026-06-22 18:34:52,PFC.NS,0.67,1.0,3
2026-06-22 18:35:05,BHEL.NS,0.5,1.0,4
2026-06-22 18:35:08,TRENT.NS,0.5,1.0,2
2026-06-22 18:35:15,VOLTAS.NS,0.0,0.0,4
2026-06-22 18:35:18,LUPIN.NS,0.8,1.0,5
2026-06-22 18:35:22,AUBANK.NS,0.8,1.0,5
2026-06-22 18:35:44,SAIL.NS,0.4,1.0,5
2026-06-22 18:35:51,SUZLON.NS,0.2,1.0,5
2026-06-22 18:35:54,RVNL.NS,0.75,1.0,4
2026-06-22 18:35:58,IRFC.NS,1.0,1.0,4
2026-06-22 18:36:01,NHPC.NS,0.6,1.0,5
2026-06-22 18:36:05,SJVN.NS,0.75,1.0,4
2026-06-22 18:36:08,NBCC.NS,0.6,1.0,5
2026-06-22 18:36:30,RITES.NS,1.0,1.0,4
2026-06-22 18:36:37,IRCON.NS,0.5,1.0,2
2026-06-22 18:36:40,RADICO.NS,0.2,0.33,5
2026-06-22 18:36:50,IDEA.NS,0.0,0.0,5
2026-06-22 18:36:57,JIOFIN.NS,0.4,1.0,5
2026-06-22 18:37:08,AAPL,-0.3,-0.5,20
2026-06-22 18:37:12,MSFT,-0.15,-0.27,20
2026-06-22 18:37:16,GOOGL,-0.35,-0.54,20
2026-06-22 18:37:20,TSLA,0.0,0.0,20
2026-06-22 18:37:25,NVDA,-0.15,-0.33,20
2026-06-22 18:37:28,^NSEI,0.25,1.0,4
2026-06-22 18:37:32,^GSPC,-0.45,-0.82,20
2026-06-22 18:37:37,^IXIC,-0.15,-0.2,20
2026-06-22 18:37:40,USO,-0.25,-0.33,4
2026-06-23 12:27:59,TCS.NS,-0.6,-0.6,5
2026-06-23 12:28:08,INFY.NS,1.0,1.0,1
2026-06-23 12:28:12,ITC.NS,0.67,1.0,3
2026-06-23 12:28:15,SBIN.NS,0.4,1.0,5
2026-06-23 12:28:22,LT.NS,0.4,0.5,5
2026-06-23 12:28:32,TMCV.NS,0.6,1.0,5
2026-06-23 12:28:41,TITAN.NS,-0.25,-0.33,4
2026-06-23 12:28:51,NTPC.NS,0.8,1.0,5
2026-06-23 12:28:55,ONGC.NS,0.4,1.0,5
2026-06-23 12:29:01,WIPRO.NS,0.8,1.0,5
2026-06-23 12:29:17,GRASIM.NS,0.6,1.0,5
2026-06-23 12:29:21,TECHM.NS,0.6,1.0,5
2026-06-23 12:29:27,RECLTD.NS,0.0,0.0,1
2026-06-23 12:29:31,PFC.NS,0.67,1.0,3
2026-06-23 12:29:43,BHEL.NS,0.5,1.0,4
2026-06-23 12:29:47,TRENT.NS,0.5,1.0,2
2026-06-23 12:29:53,VOLTAS.NS,0.0,0.0,4
2026-06-23 12:29:57,LUPIN.NS,0.8,1.0,5
2026-06-23 12:30:00,AUBANK.NS,0.8,1.0,5
2026-06-23 12:30:23,SAIL.NS,0.4,1.0,5
2026-06-23 12:30:29,SUZLON.NS,0.2,1.0,5
2026-06-23 12:30:33,RVNL.NS,0.75,1.0,4
2026-06-23 12:30:36,IRFC.NS,1.0,1.0,4
2026-06-23 12:30:40,NHPC.NS,0.6,1.0,5
2026-06-23 12:30:43,SJVN.NS,0.75,1.0,4
2026-06-23 12:30:47,NBCC.NS,0.6,1.0,5
2026-06-23 12:31:09,RITES.NS,1.0,1.0,4
2026-06-23 12:31:15,IRCON.NS,0.5,1.0,2
2026-06-23 12:31:19,RADICO.NS,0.2,0.33,5
2026-06-23 12:31:29,IDEA.NS,0.0,0.0,5
2026-06-23 12:31:35,JIOFIN.NS,0.4,1.0,5
2026-06-23 12:31:46,AAPL,0.0,0.0,20
2026-06-23 12:31:50,MSFT,0.05,0.09,20
2026-06-23 12:31:54,GOOGL,-0.4,-0.67,20
2026-06-23 12:31:58,TSLA,0.0,0.0,20
2026-06-23 12:32:03,NVDA,-0.05,-0.11,20
2026-06-23 12:32:06,^NSEI,0.25,1.0,4
2026-06-23 12:32:10,^GSPC,-0.2,-1.0,20
2026-06-23 12:32:14,^IXIC,-0.5,-0.83,20
2026-06-23 12:32:18,USO,-0.5,-0.6,6
2026-06-24 12:10:14,TCS.NS,0.0,0.0,1
2026-06-24 12:10:24,INFY.NS,0.0,0.0,3
2026-06-24 12:10:27,ITC.NS,0.67,1.0,3
2026-06-24 12:10:31,SBIN.NS,0.4,1.0,5
2026-06-24 12:10:38,LT.NS,0.4,0.5,5
2026-06-24 12:10:47,TMCV.NS,0.6,1.0,5
2026-06-24 12:10:57,TITAN.NS,-0.25,-0.33,4
2026-06-24 12:11:07,NTPC.NS,0.8,1.0,5
2026-06-24 12:11:10,ONGC.NS,0.4,1.0,5
2026-06-24 12:11:17,WIPRO.NS,-1.0,-1.0,1
2026-06-24 12:11:33,GRASIM.NS,0.6,1.0,5
2026-06-24 12:11:36,TECHM.NS,1.0,1.0,1
2026-06-24 12:11:42,RECLTD.NS,0.0,0.0,1
2026-06-24 12:11:46,PFC.NS,0.67,1.0,3
2026-06-24 12:11:59,BHEL.NS,0.5,1.0,4
2026-06-24 12:12:02,TRENT.NS,0.5,1.0,2
2026-06-24 12:12:09,VOLTAS.NS,0.0,0.0,4
2026-06-24 12:12:12,LUPIN.NS,0.8,1.0,5
2026-06-24 12:12:16,AUBANK.NS,0.8,1.0,5
2026-06-24 12:12:39,SAIL.NS,0.4,1.0,5
2026-06-24 12:12:45,SUZLON.NS,0.2,1.0,5
2026-06-24 12:12:49,RVNL.NS,0.75,1.0,4
2026-06-24 12:12:52,IRFC.NS,1.0,1.0,4
2026-06-24 12:12:56,NHPC.NS,0.6,1.0,5
2026-06-24 12:12:59,SJVN.NS,0.75,1.0,4
2026-06-24 12:13:03,NBCC.NS,0.6,1.0,5
2026-06-24 12:13:25,RITES.NS,1.0,1.0,4
2026-06-24 12:13:32,IRCON.NS,0.5,1.0,2
2026-06-24 12:13:35,RADICO.NS,0.2,0.33,5
2026-06-24 12:13:45,IDEA.NS,0.0,0.0,5
2026-06-24 12:13:51,JIOFIN.NS,0.4,1.0,5
2026-06-24 12:14:02,AAPL,0.05,0.14,20
2026-06-24 12:14:06,MSFT,-0.05,-0.11,20
2026-06-24 12:14:10,GOOGL,-0.05,-0.2,20
2026-06-24 12:14:15,TSLA,-0.05,-0.11,20
2026-06-24 12:14:19,NVDA,0.0,0.0,20
2026-06-24 12:14:22,^NSEI,0.25,1.0,4
2026-06-24 12:14:26,^GSPC,0.05,0.14,20
2026-06-24 12:14:31,^IXIC,-0.05,-0.09,20
2026-06-24 12:14:34,USO,-0.5,-0.56,10
2026-06-25 12:05:34,TCS.NS,0.0,0.0,1
2026-06-25 12:05:44,INFY.NS,0.33,0.6,9
2026-06-25 12:05:48,ITC.NS,0.67,1.0,3
2026-06-25 12:05:51,SBIN.NS,0.0,0.0,1
2026-06-25 12:05:58,LT.NS,0.4,0.5,5
2026-06-25 12:06:07,TMCV.NS,0.6,1.0,5
2026-06-25 12:06:17,TITAN.NS,-0.25,-0.33,4
2026-06-25 12:06:27,NTPC.NS,0.8,1.0,5
2026-06-25 12:06:30,ONGC.NS,0.4,1.0,5
2026-06-25 12:06:37,WIPRO.NS,-0.5,-1.0,2
2026-06-25 12:06:53,GRASIM.NS,0.6,1.0,5
2026-06-25 12:06:56,TECHM.NS,1.0,1.0,1
2026-06-25 12:07:03,RECLTD.NS,0.0,0.0,1
2026-06-25 12:07:06,PFC.NS,0.67,1.0,3
2026-06-25 12:07:19,BHEL.NS,0.5,1.0,4
2026-06-25 12:07:22,TRENT.NS,0.5,1.0,2
2026-06-25 12:07:29,VOLTAS.NS,0.0,0.0,4
2026-06-25 12:07:32,LUPIN.NS,0.8,1.0,5
2026-06-25 12:07:36,AUBANK.NS,0.8,1.0,5
2026-06-25 12:07:59,SAIL.NS,0.4,1.0,5
2026-06-25 12:08:05,SUZLON.NS,0.2,1.0,5
